Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
170,4,1.52617,1.47892,0,0,0,0,0,1.30255,0.101901,0.0537338,0.0120541,0.00868494,0,0,0,0.488174,0.00900572,0.00380725,0.000489785,0.000206225
170,5,1.49714,1.46008,0,0,0,0,0,0.000198568,0.73995,0.553503,0.0991689,0.0672623,0,0,0,0,0,0,0,0
170,6,1.58677,1.51597,0,0,0,0,0,6.3038E-16,0.000739008,0.96936,0.350554,0.19532,0,0,0,0,0,0,0,0
170,7,1.74805,1.63704,0,0,0,0,0,0,5.22577E-10,0.040613,0.923342,0.673089,0,0,0,0,0,0,0,0
170,8,2.38271,2.16845,1,0,0,0,0,0,5.65539E-11,0.00256171,0.17178,1.9941,0,0,0,0,0,0,0,0
171,1,0.393538,0.36583,0,1,0.272026,0.0922371,0.00154139,2.53361E-05,0.000000116,7.64741E-08,1.71852E-08,1.37464E-08,0.0943785,0.0390361,0.000102087,2.12947E-07,1.16102E-10,4.90831E-11,6.31432E-12,2.65866E-12
171,2,0.980359,0.971325,0,0,0,0.849761,0.119716,0.00183062,8.38139E-06,5.52551E-06,1.24169E-06,9.93226E-07,0,0.328173,0.0466658,0.00010265,5.59665E-08,2.36604E-08,3.0438E-09,1.2816E-09
171,3,1.46882,1.45552,0,0,0,0,1.27145,0.182564,0.000778341,0.000513128,0.00011531,9.22363E-05,0,0,0.516939,0.0703568,4.04482E-05,1.70999E-05,2.19982E-06,9.2624E-07
171,4,1.52602,1.4788,0,0,0,0,0,1.30057,0.103026,0.0542599,0.012172,0.00876598,0,0,0,0.486744,0.00903643,0.00382024,0.000491456,0.000206929
171,5,1.49715,1.46009,0,0,0,0,0,0.00019814,0.739636,0.553782,0.0991966,0.0672811,0,0,0,0,0,0,0,0
171,6,1.58715,1.51622,0,0,0,0,0,6.24164E-16,0.000731719,0.967379,0.352209,0.195899,0,0,0,0,0,0,0,0
171,7,1.74883,1.63764,0,0,0,0,0,0,5.15625E-10,0.0399345,0.921327,0.676377,0,0,0,0,0,0,0,0
171,8,2.38361,2.1692,1,0,0,0,0,0,5.64716E-11,0.00255792,0.17136,1.99528,0,0,0,0,0,0,0,0
172,1,0.393716,0.366022,0,1,0.272004,0.0924476,0.0015443,0.000025384,1.16219E-07,7.66187E-08,1.72177E-08,1.37724E-08,0.0943528,0.0391302,0.000102357,2.1351E-07,1.16409E-10,4.9213E-11,6.33102E-12,2.66569E-12
172,2,0.981503,0.972487,0,0,0,0.850044,0.120582,0.00184336,8.43974E-06,5.56397E-06,1.25033E-06,1.00014E-06,0,0.328308,0.0470525,0.000103515,5.64377E-08,2.38596E-08,3.06943E-09,1.29239E-09
