Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
26,3,2.35692,2.35675,0,0,0,0,1.99812,0.35567,0.00153859,0.00101433,0.00022794,0.000182329,0,0,0.93753,0.142818,8.11261E-05,3.42969E-05,4.41213E-06,1.85774E-06
26,4,2.39655,2.39484,0,0,0,0,0,2.08484,0.17548,0.0970358,0.0217688,0.0157202,0,0,0,0.884334,0.0170363,0.00720225,0.000926536,0.00039012
26,5,2.42908,2.42305,0,0,0,0,0,0.000307026,1.13614,0.980214,0.182563,0.123825,0,0,0,0,0,0,0,0
26,6,2.49293,2.48279,0,0,0,0,0,1.1207E-15,0.00114003,1.50942,0.617817,0.354412,0,0,0,0,0,0,0,0
26,7,2.66184,2.64484,0,0,0,0,0,0,8.95027E-10,0.0638585,1.42069,1.16029,0,0,0,0,0,0,0,0
26,8,3.43789,3.40401,0,0,0,0,0,0,9.25542E-11,0.00418938,0.269062,3.13075,0,0,0,0,0,0,0,0
27,1,0.547306,0.547296,0,0,0.361775,0.182356,0.00311318,0.000051172,2.34288E-07,1.54457E-07,3.47094E-08,2.7764E-08,0.168399,0.0823006,0.000211739,4.41673E-07,2.40807E-10,1.01803E-10,1.30965E-11,5.51433E-12
27,2,1.55048,1.55046,0,0,0,1.29559,0.250943,0.00388929,1.78069E-05,1.17394E-05,2.63806E-06,2.11019E-06,0,0.607929,0.102666,0.000223261,1.21725E-07,5.14604E-08,6.62015E-09,2.78743E-09
27,3,2.35668,2.35651,0,0,0,0,2.00049,0.353072,0.00152763,0.0010071,0.000226316,0.00018103,0,0,0.938647,0.141592,8.04239E-05,0.000034,4.37394E-06,1.84166E-06
27,4,2.39655,2.39484,0,0,0,0,0,2.08464,0.175627,0.0970758,0.0217777,0.0157248,0,0,0,0.884195,0.0170054,0.0071892,0.000924857,0.000389414
27,5,2.42908,2.42306,0,0,0,0,0,0.000306601,1.13599,0.98034,0.182581,0.123837,0,0,0,0,0,0,0,0
27,6,2.49291,2.48277,0,0,0,0,0,1.12049E-15,0.00113981,1.50974,0.617561,0.354333,0,0,0,0,0,0,0,0
27,7,2.6616,2.6446,0,0,0,0,0,0,8.98602E-10,0.0641718,1.42167,1.15875,0,0,0,0,0,0,0,0
27,8,3.43706,3.40319,0,0,0,0,0,0,9.26262E-11,0.00419268,0.269385,3.12962,0,0,0,0,0,0,0,0
28,1,0.546642,0.546632,0,0,0.361911,0.181568,0.00310113,5.09739E-05,2.33381E-07,1.53859E-07,3.4575E-08,2.76565E-08,0.168501,0.0818957,0.000210646,4.39393E-07,2.39564E-10,1.01278E-10,1.30289E-11,5.48586E-12
28,2,1.54802,1.548,0,0,0,1.29502,0.249083,0.00386126,1.76786E-05,1.16548E-05,2.61905E-06,2.09498E-06,0,0.607672,0.101797,0.000221349,1.20683E-07,5.10199E-08,6.56348E-09,2.76357E-09
28,3,2.35651,2.35635,0,0,0,0,2.00223,0.351187,0.0015197,0.00100187,0.00022514,0.00018009,0,0,0.939469,0.140696,0.00007991,3.37827E-05,4.34599E-06,1.82989E-06
28,4,2.39652,2.39482,0,0,0,0,0,2.08617,0.174715,0.0966086,0.021673,0.015652,0,0,0,0.885422,0.016959,0.00716958,0.000922333,0.000388351
28,5,2.42908,2.42305,0,0,0,0,0,0.000306734,1.1361,0.980251,0.182571,0.12383,0,0,0,0,0,0,0,0
28,6,2.49285,2.48272,0,0,0,0,0,1.12277E-15,0.00114213,1.51049,0.616969,0.354113,0,0,0,0,0,0,0,0
28,7,2.66138,2.64439,0,0,0,0,0,0,9.01794E-10,0.0644518,1.42254,1.1574,0,0,0,0,0,0,0,0
28,8,3.43685,3.40299,0,0,0,0,0,0,9.26617E-11,0.00419431,0.269545,3.12925,0,0,0,0,0,0,0,0
29,1,0.546449,0.546439,0,0,0.361971,0.181319,0.00309735,5.09118E-05,2.33097E-07,1.53671E-07,3.45329E-08,2.76228E-08,0.168541,0.0817669,0.000210297,4.38664E-07,2.39166E-10,1.0111E-10,1.30073E-11,5.47676E-12
29,2,1.54711,1.54709,0,0,0,1.29482,0.248384,0.00385073,1.76304E-05,0.000011623,2.61191E-06,2.08927E-06,0,0.607583,0.101469,0.000220628,1.2029E-07,5.08537E-08,6.5421E-09,2.75456E-09
29,3,2.35643,2.35626,0,0,0,0,2.00314,0.350201,0.00151555,0.000999141,0.000224526,0.000179598,0,0,0.939902,0.140226,7.96401E-05,3.36686E-05,4.33132E-06,1.82371E-06
